epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.489,1.51869,3.0372,1.59053,0.00636,0.63636,0.03379,0.01693,1.3971,3.27698,1.62822,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794
2,335.932,1.28428,2.93497,1.42591,0.00848,0.84848,0.16381,0.09844,1.20345,3.16138,1.48412,0.00389648,0.00129883,0.00389648,0.00129883,0.00389648,0.00129883,0.00389648,0.00129883
3,477.412,1.22887,2.803,1.37378,0.00879,0.87879,0.39178,0.20761,0.99143,2.92553,1.28584,0.00578401,0.001928,0.00578401,0.001928,0.00578401,0.001928,0.00578401,0.001928
4,618.579,1.1925,2.57289,1.31493,0.87042,0.57576,0.65739,0.43589,0.95895,2.32367,1.1614,0.00574543,0.00191514,0.00574543,0.00191514,0.00574543,0.00191514,0.00574543,0.00191514
5,756.103,1.1249,2.31913,1.24781,0.945,0.69697,0.71948,0.49463,0.94504,1.81859,1.12759,0.00566057,0.00188686,0.00566057,0.00188686,0.00566057,0.00188686,0.00566057,0.00188686
6,898.844,1.08857,2.03052,1.21061,0.95813,0.6935,0.74202,0.51044,0.93944,1.49192,1.12343,0.00557571,0.00185857,0.00557571,0.00185857,0.00557571,0.00185857,0.00557571,0.00185857
7,1040.07,1.08619,1.86253,1.21442,0.88789,0.75758,0.78036,0.56618,0.82346,1.50607,1.03982,0.00549086,0.00183029,0.00549086,0.00183029,0.00549086,0.00183029,0.00549086,0.00183029
8,1178.67,1.04492,1.74422,1.17189,0.9635,0.75758,0.79157,0.60907,0.74881,1.39147,0.96242,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
9,1318.82,0.98429,1.63053,1.14963,0.95814,0.78788,0.79997,0.65098,0.70728,1.26904,0.93285,0.00532114,0.00177371,0.00532114,0.00177371,0.00532114,0.00177371,0.00532114,0.00177371
10,1460.5,0.9652,1.48655,1.12464,0.96142,0.75521,0.81618,0.66931,0.69449,1.24958,0.92035,0.00523629,0.00174543,0.00523629,0.00174543,0.00523629,0.00174543,0.00523629,0.00174543
11,1601.73,0.95075,1.4809,1.11689,0.93006,0.84848,0.84852,0.67838,0.69512,1.24966,0.92465,0.00515143,0.00171714,0.00515143,0.00171714,0.00515143,0.00171714,0.00515143,0.00171714
12,1746.13,0.94711,1.39967,1.13545,0.95703,0.81818,0.85249,0.64714,0.73884,1.3005,0.96109,0.00506657,0.00168886,0.00506657,0.00168886,0.00506657,0.00168886,0.00506657,0.00168886
13,1883.63,0.94619,1.35005,1.12441,0.93054,0.81212,0.83415,0.64209,0.73933,1.29529,0.97259,0.00498171,0.00166057,0.00498171,0.00166057,0.00498171,0.00166057,0.00498171,0.00166057
14,2024.56,0.88308,1.2569,1.07853,0.94877,0.81818,0.84313,0.65107,0.74448,1.23839,0.95398,0.00489686,0.00163229,0.00489686,0.00163229,0.00489686,0.00163229,0.00489686,0.00163229
15,2167.59,0.91626,1.27545,1.09721,0.95174,0.81818,0.85295,0.67175,0.79135,1.15413,0.97254,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
16,2304.82,0.8723,1.23375,1.07614,1,0.83675,0.87042,0.67763,0.75958,1.06578,0.96985,0.00472714,0.00157571,0.00472714,0.00157571,0.00472714,0.00157571,0.00472714,0.00157571
17,2446.09,0.83635,1.20002,1.06902,0.98458,0.84848,0.87102,0.70383,0.7483,1.03999,0.94967,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743
18,2589.6,0.86056,1.17362,1.05683,0.99419,0.84848,0.87414,0.68468,0.75941,1.06097,0.93627,0.00455743,0.00151914,0.00455743,0.00151914,0.00455743,0.00151914,0.00455743,0.00151914
